"Description","VRM","Mileage","Days in stock","Retail price","Admin fee","Price indicator","Current label min","Current label max","Price position","VAT status","Retail valuation","SIV","Images","Video","Attention grabber","Auto Trader","My Website","Partner sites","Dealer Auction","Retailer store page","UVL","Stock status","Vehicle type","MOT expiry","Colour","Fuel","Body Type","Registration date","Doors","Performance rating","Performance rating score","Yesterdays search appearances","Yesterdays advert views","Last 7 days search appearances","Last 7 days advert views","Days since last update","My reference","DID","Site","Vehicle check status","Vehicle check issues","Vin"
"Audi A6 Saloon 2.0 TDI ultra Black Edition S Tronic Euro 6 (s/s) 4dr","OV15VDA","89800","91","9795","","Great","-67","240","95.65%","","£10240","","13","No","Yes","COMPLETE","COMPLETE","EXPIRED","EXPIRED","COMPLETE","COMPLETE","Forecourt","USED","","White","Diesel","Saloon","01/07/2015","4","Excellent","76","365","28","3546","119","24",,"10048195","Cars25 Limited","PASS","","WAUZZZ4G9FN086653"
"BMW 2 Series 2.0 218d SE Euro 6 (s/s) 2dr","MJ15KNK","142000","128","3295","","Low","-1796","608","78.19%","","£4214","","23","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Black","Diesel","Coupe","28/04/2015","2","","","","","","","41",,"10048195","Cars25 Limited","PASS","","WBA1H320X0V352336"
"Chevrolet Cruze 1.8 LTZ Euro 5 5dr","LT12FNO","88650","53","1995","","Great","-58","260","86.7%","","£2301","","20","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Silver","Petrol","Hatchback","01/03/2012","5","None","0","0","0","3466","115","1",,"10048195","Cars25 Limited","PASS","","KL1JF6859CK520139"
"Dacia Sandero Stepway 0.9 TCe Laureate Euro 5 5dr","MK15RTV","78900","84","3295","","Great","-179","102","95.07%","","£3466","","19","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","White","Petrol","Hatchback","01/03/2015","5","","","","","","","59",,"10048195","Cars25 Limited","PASS","","UU15SDAAC52338084"
"Fiat Punto 1.4 Easy Euro 6 (s/s) 3dr","YR14HUV","69400","128","2295","","Great","-114","202","90.07%","","£2548","","18","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","White","Petrol","Hatchback","31/03/2014","3","","","","","","","56",,"10048195","Cars25 Limited","PASS","","ZFA1990000P064986"
"Ford B-Max 1.6 Zetec Powershift Euro 5 5dr","WX63BVG","42967","75","5495","","Good","-20","260","98.35%","","£5587","","18","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Red","Petrol","MPV","05/09/2013","5","","","","","","","26",,"10048195","Cars25 Limited","PASS","","WF0KXXERJKDB67501"
"Ford B-Max 1.6 Zetec Powershift Euro 5 5dr","DK63LWM","28282","57","6295","","Good","-38","282","98.59%","","£6385","","18","No","Yes","COMPLETE","COMPLETE","EXPIRED","EXPIRED","COMPLETE","COMPLETE","Forecourt","USED","","Black","Petrol","MPV","06/09/2013","5","Below Average","42","227","1","1801","24","0",,"10048195","Cars25 Limited","PASS","","WF0KXXERJKDR71371"
"Ford Fiesta 1.0T EcoBoost Titanium Euro 6 (s/s) 5dr","PX65UXM","34900","91","6495","","Good","-10","321","98.16%","","£6617","","18","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Grey","Petrol","Hatchback","22/10/2015","5","","","","","","","56",,"10048195","Cars25 Limited","PASS","","WF0DXXGAKDFJ68302"
"Ford Fiesta 1.0T EcoBoost Titanium Euro 6 (s/s) 5dr","DS18DGU","79800","101","5795","","Low","-4296","424","88.53%","","£6546","","22","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Grey","Petrol","Hatchback","26/04/2018","5","","","","","","","15",,"10048195","Cars25 Limited","PASS","","WF0JXXGAHJJS43677"
"Ford Fiesta 1.6 Titanium 5dr","EY60HBU","63000","101","2995","","No analysis","","","","","","","19","No","Yes","COMPLETE","COMPLETE","EXPIRED","EXPIRED","COMPLETE","COMPLETE","Forecourt","USED","","9","Petrol","Hatchback","30/09/2010","5","Excellent","98","814","54","8376","270","11",,"10048195","Cars25 Limited","PASS","","WF0JXXGAJJAM04329"
"Ford Focus Cc 2.0 CC-2 2dr","YR09DHC","75000","49","2795","","No analysis","","","","","","","19","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Silver","Petrol","Convertible","19/03/2009","2","","","","","","","15",,"10048195","Cars25 Limited","PASS","","WF0XXXLUDX9J30184"
"Ford Grand C-Max 1.6 Zetec Euro 5 5dr","NV61EFF","63000","70","3495","","Great","-80","183","93.13%","","£3753","","26","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Blue","Petrol","MPV","07/12/2011","5","","","","","","","15",,"10048195","Cars25 Limited","PASS","","WF0HXXWPBHAA31379"
"Ford KA 1.2 Zetec Euro 5 (s/s) 3dr","SH61XAA","44260","59","2795","","Low","-1296","7","88.39%","","£3162","","13","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Silver","Petrol","Hatchback","29/11/2011","3","None","0","0","0","1182","34","4",,"10048195","Cars25 Limited","ISSUE","Mileage discrepancy","WF0UXXLTRUBU19115"
"Honda Jazz 1.4 i-VTEC EX CVT Euro 5 5dr","NA12YCU","37500","44","7934","","Good","-158","239","99.99%","","£7935","","1","No","Yes","COMPLETE","COMPLETE","EXPIRED","EXPIRED","COMPLETE","COMPLETE","Forecourt","USED","","Red","Petrol","Hatchback","28/06/2012","5","Excellent","88","430","29","3155","121","0",,"10048195","Cars25 Limited","PASS","","JHMGE6880CS207762"
"Honda Jazz 1.4 i-VTEC EX Euro 4 5dr","SM09VXE","53327","59","3695","","No analysis","","","","","","","27","No","Yes","COMPLETE","COMPLETE","EXPIRED","EXPIRED","COMPLETE","COMPLETE","Forecourt","USED","","Silver","Petrol","Hatchback","05/08/2009","5","Excellent","95","869","34","6108","218","11",,"10048195","Cars25 Limited","PASS","","JHMGE67809S222254"
"Hyundai ix20 1.4 Blue Drive SE Nav Euro 6 (s/s) 5dr","GY67OWG","69925","60","5295","","Low","-3796","984","80.12%","","£6609","","17","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Blue","Petrol","Hatchback","09/01/2018","5","","","","","","","36",,"10048195","Cars25 Limited","ISSUE","Mileage discrepancy","TMAPU81CLJJ277331"
"KIA Sportage 1.7 CRDi EcoDynamics 1 2WD Euro 5 (s/s) 5dr","YW13GBF","79800","101","4395","","Fair","-164","154","106.99%","","£4108","","19","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","White","Diesel","SUV","12/08/2013","5","","","","","","","59",,"10048195","Cars25 Limited","PASS","","U5YPB815LDL344116"
"MINI Countryman 2.0 John Cooper Works Auto ALL4 Euro 6 (s/s) 5dr","J555JNC","47000","45","19500","","Good","-892","58","102.7%","","£18988","","4","No","No","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Silver","Petrol","SUV","30/06/2017","5","","","","","","","15",,"10048195","Cars25 Limited","ISSUE","Outstanding finance","WMWYV920303B90865"
"Mercedes-Benz A Class 2.0 A180 CDI Classic SE CVT 5dr","DA10NYP","63000","64","3295","","No analysis","","","","","","","23","No","Yes","COMPLETE","COMPLETE","EXPIRED","EXPIRED","COMPLETE","COMPLETE","Forecourt","USED","2026-10-23","Blue","Diesel","Hatchback","08/06/2010","5","Excellent","76","814","13","5312","96","35",,"10048195","Cars25 Limited","ISSUE","Mileage discrepancy","WDD1690072J837924"
"Mercedes-Benz E Class 2.0 E220d AMG Line (Premium Plus) G-Tronic+ Euro 6 (s/s) 4dr","WR16RXC","57000","57","14995","","Low","-13496","916","89.53%","","£16748","","19","No","Yes","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Grey","Diesel","Saloon","28/04/2016","4","","","","","","","44",,"10048195","Cars25 Limited","ISSUE","Outstanding finance","WDD2130042A019650"
"Mitsubishi ASX 1.8D 3 Euro 5 5dr","SHZ4709","96000","79","3295","","Fair","-100","261","106.22%","","£3102","","8","No","Yes","COMPLETE","COMPLETE","EXPIRED","EXPIRED","COMPLETE","COMPLETE","Forecourt","USED","","Red","Diesel","SUV","23/07/2014","5","Below Average","45","444","17","2434","65","35",,"10048195","Cars25 Limited","PASS","","JMAXJGA6WEZ401526"
"Nissan Leaf 62kWh e+ N-Connecta Auto 5dr","WJ21OXR","68500","38","9000","","Good","-189","261","100.1%","","£8991","","0","No","No","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","EXPIRED","Sold","USED","","Grey","Electric","Hatchback","15/03/2021","5","","","","","","","15",,"10048195","Cars25 Limited","PASS","","SJNFAAZE1U0116974"
"Nissan Qashqai 1.2 DIG-T N-Connecta XTRON Euro 6 (s/s) 5dr","HY67LHH","69568","59","9495","","Good","-212","261","100.24%","","£9472","","16","No","Yes","COMPLETE","EXPIRED","EXPIRED","EXPIRED","COMPLETE","EXPIRED","Forecourt","USED","","Blue","Petrol","SUV","13/09/2017","5","Excellent","93","291","12","1474","59","26",,"10048195","Cars25 Limited","PASS","","SJNFEAJ11U2088749"
